"","Year","Entity","new_cases_5_years_later","population_size_5_years_later","hdi","haq","gdp_per_capita","female_emply_rate","urb_rate","drug_alcohol_disorder_share","new_cases_share_5_years_later","hdi_avg","haq_avg","gdp_per_capita_avg","female_emply_rate_avg","urb_rate_avg","drug_alcohol_disorder_share_avg","hdi_over_avg","haq_over_avg","gdp_per_capita_over_avg","female_emply_rate_over_avg","urb_rate_over_avg","drug_alcohol_disorder_share_over_avg"
"1",2005,"Afghanistan",322.059776274,29186000,0.408,27.1,1187,16.1110000610352,22.703,1.719707856,1.10347350193243e-05,0.634350344827586,57.5704827586207,13000.9296551724,50.1657158424114,55.6031131034483,2.31218164436414,0,0,0,0,0,0
"2",1990,"Albania",3.17241000583,3113000,0.645,62.4,4099,53.5900001525879,36.428,2.173239096,1.01908448629297e-06,0.634350344827586,57.5704827586207,13000.9296551724,50.1657158424114,55.6031131034483,2.31218164436414,1,1,0,1,0,0
"3",1995,"Albania",2.53015250962,3129000,0.632,65.1,4685,53.5019989013672,38.911,2.156305414,8.08613777443273e-07,0.634350344827586,57.5704827586207,13000.9296551724,50.1657158424114,55.6031131034483,2.31218164436414,0,1,0,1,0,0
"4",2000,"Albania",2.82307115098,3087000,0.669,68.5,5183,51.7179985046387,41.741,2.163369115,9.1450312632977e-07,0.634350344827586,57.5704827586207,13000.9296551724,50.1657158424114,55.6031131034483,2.31218164436414,1,1,0,1,0,0
"5",2005,"Albania",2.3999301523,2948000,0.704,71.6,6499,48.0509986877441,46.731,2.181151223,8.14087568622795e-07,0.634350344827586,57.5704827586207,13000.9296551724,50.1657158424114,55.6031131034483,2.31218164436414,1,1,0,0,0,0
"6",1990,"Algeria",252.004955758,28758000,0.577,48.2,8312,11.496000289917,52.085,1.369729748,8.76295137902497e-06,0.634350344827586,57.5704827586207,13000.9296551724,50.1657158424114,55.6031131034483,2.31218164436414,0,0,0,0,0,0
"7",1995,"Algeria",467.911693781,31042000,0.6,52.6,7079,11.8039999008179,55.997,1.378185656,1.50735034398879e-05,0.634350344827586,57.5704827586207,13000.9296551724,50.1657158424114,55.6031131034483,2.31218164436414,0,0,0,0,1,0
"8",2000,"Algeria",740.609561662,33150000,0.644,56.2,8255,11.8929996490479,59.919,1.396571638,2.23411632477225e-05,0.634350344827586,57.5704827586207,13000.9296551724,50.1657158424114,55.6031131034483,2.31218164436414,1,0,0,0,1,0
"9",2005,"Algeria",1073.46547189,35977000,0.692,59.6,10795,12.8430004119873,63.83,1.41693756,2.98375482082997e-05,0.634350344827586,57.5704827586207,13000.9296551724,50.1657158424114,55.6031131034483,2.31218164436414,1,1,0,0,1,0
"10",2000,"Angola",24677.1900505,19434000,0.387,31.2,1647,74.7320022583008,50.087,1.902439472,0.00126979469231759,0.634350344827586,57.5704827586207,13000.9296551724,50.1657158424114,55.6031131034483,2.31218164436414,0,0,0,1,0,0
"11",2005,"Angola",27875.5984936,23356000,0.455,35.6,3364,74.8539962768555,56,1.878406715,0.00119350909803048,0.634350344827586,57.5704827586207,13000.9296551724,50.1657158424114,55.6031131034483,2.31218164436414,0,0,0,1,1,0
"12",1990,"Argentina",7872.58222665,34828000,0.704,57.4,11878,44.3129997253418,86.984,3.183791019,0.00022604175452653,0.634350344827586,57.5704827586207,13000.9296551724,50.1657158424114,55.6031131034483,2.31218164436414,1,0,0,0,1,1
"13",1995,"Argentina",8673.20722263,36871000,0.731,60.3,15192,46.8479995727539,88.164,3.54141027,0.00023523113619457,0.634350344827586,57.5704827586207,13000.9296551724,50.1657158424114,55.6031131034483,2.31218164436414,1,1,1,0,1,1
"14",2000,"Argentina",9282.67797116,38893000,0.771,63.5,14918,48.9099998474121,89.142,3.53714191,0.000238672202482709,0.634350344827586,57.5704827586207,13000.9296551724,50.1657158424114,55.6031131034483,2.31218164436414,1,1,1,0,1,1
"15",2005,"Argentina",10712.7390815,40896000,0.782,65.3,14832,49.4199981689453,90.031,3.568274655,0.00026195077957502,0.634350344827586,57.5704827586207,13000.9296551724,50.1657158424114,55.6031131034483,2.31218164436414,1,1,1,0,1,1
"16",1990,"Armenia",3.29951171773,3217000,0.631,56.8,6389,48.9609985351563,67.421,2.522360836,1.02564865331986e-06,0.634350344827586,57.5704827586207,13000.9296551724,50.1657158424114,55.6031131034483,2.31218164436414,0,0,0,0,1,1
"17",1995,"Armenia",18.9395535871,3070000,0.605,55.6,2891,48.7459983825684,66.057,2.394030363,6.16923569612378e-06,0.634350344827586,57.5704827586207,13000.9296551724,50.1657158424114,55.6031131034483,2.31218164436414,0,0,0,0,1,1
"18",2000,"Armenia",50.1593558663,2981000,0.647,59,3324,48.0250015258789,64.666,2.27795793,1.68263521859443e-05,0.634350344827586,57.5704827586207,13000.9296551724,50.1657158424114,55.6031131034483,2.31218164436414,1,1,0,0,1,0
"19",2005,"Armenia",113.491395747,2877000,0.693,60,5172,47.515998840332,63.938,2.298558214,3.94478261199166e-05,0.634350344827586,57.5704827586207,13000.9296551724,50.1657158424114,55.6031131034483,2.31218164436414,1,1,0,0,1,0
"20",1990,"Australia",769,17993000,0.866,78,27767,52.3199996948242,85.433,3.688319274,4.27388428833435e-05,0.634350344827586,57.5704827586207,13000.9296551724,50.1657158424114,55.6031131034483,2.31218164436414,1,1,1,1,1,1
"21",1995,"Australia",955,18991000,0.883,80.8,30514,53.6640014648438,84.898,3.956086005,5.02869780422305e-05,0.634350344827586,57.5704827586207,13000.9296551724,50.1657158424114,55.6031131034483,2.31218164436414,1,1,1,1,1,1
"22",2000,"Australia",907,20179000,0.898,83.7,36001,54.6230010986328,84.235,4.035072563,4.49477179245751e-05,0.634350344827586,57.5704827586207,13000.9296551724,50.1657158424114,55.6031131034483,2.31218164436414,1,1,1,1,1,1
"23",2005,"Australia",1025,22155000,0.908,86.2,41158,57.0499992370605,84.582,3.64421713,4.62649514782216e-05,0.634350344827586,57.5704827586207,13000.9296551724,50.1657158424114,55.6031131034483,2.31218164436414,1,1,1,1,1,1
"24",1990,"Austria",352.337858903,7990000,0.795,74.4,24175,43.4329986572266,62.96,2.577207342,4.40973540554443e-05,0.634350344827586,57.5704827586207,13000.9296551724,50.1657158424114,55.6031131034483,2.31218164436414,1,1,1,0,1,1
"25",1995,"Austria",578.533688435,8069000,0.817,78.2,28938,48.8079986572266,61.596,2.645611796,7.16983131038543e-05,0.634350344827586,57.5704827586207,13000.9296551724,50.1657158424114,55.6031131034483,2.31218164436414,1,1,1,0,1,1
"26",2000,"Austria",595.550964899,8254000,0.838,81.6,35714,48.9440002441406,60.213,2.85168619,7.21530124665617e-05,0.634350344827586,57.5704827586207,13000.9296551724,50.1657158424114,55.6031131034483,2.31218164436414,1,1,1,0,1,1
"27",2005,"Austria",650.799207671,8410000,0.855,84.2,37653,50.6669998168945,58.813,2.878683771,7.7383972374673e-05,0.634350344827586,57.5704827586207,13000.9296551724,50.1657158424114,55.6031131034483,2.31218164436414,1,1,1,1,1,1
"28",1995,"Azerbaijan",84.1101693371,8123000,0.612,51.8,2427,56.148998260498,52.206,3.09251746,1.0354569658636e-05,0.634350344827586,57.5704827586207,13000.9296551724,50.1657158424114,55.6031131034483,2.31218164436414,0,0,0,1,0,1
"29",2000,"Azerbaijan",89.7786375594,8539000,0.64,53.6,2576,56.9889984130859,51.386,3.077993139,1.05139521676309e-05,0.634350344827586,57.5704827586207,13000.9296551724,50.1657158424114,55.6031131034483,2.31218164436414,1,0,0,1,0,1
"30",2005,"Azerbaijan",173.683024263,9032000,0.679,55.4,4806,61.0509986877441,52.389,3.129028066,1.92297413931577e-05,0.634350344827586,57.5704827586207,13000.9296551724,50.1657158424114,55.6031131034483,2.31218164436414,1,0,0,1,0,1
"31",1990,"Bahrain",14.2201704247,564000,0.746,59.7,15777,28.8509998321533,88.14,1.630478553,2.52130681289007e-05,0.634350344827586,57.5704827586207,13000.9296551724,50.1657158424114,55.6031131034483,2.31218164436414,1,1,1,0,1,0
"32",1995,"Bahrain",12.6096787224,665000,0.775,63.2,16606,31.6720008850098,88.388,1.656926117,1.89619228908271e-05,0.634350344827586,57.5704827586207,13000.9296551724,50.1657158424114,55.6031131034483,2.31218164436414,1,1,1,0,1,0
"33",2000,"Bahrain",12.6862676492,889000,0.792,67.3,27598,34.7760009765625,88.372,1.654215302,1.42702673219348e-05,0.634350344827586,57.5704827586207,13000.9296551724,50.1657158424114,55.6031131034483,2.31218164436414,1,1,1,0,1,0
